frame,person_id,timestamp,Person,violation,severity,location,metadata,confidence,full_violation
1,0,2025-10-08 01:36:42,0,,None,"(0,0,0,0)",{'total_persons': 1},1.0, (Confidence: 1.00)
1,1,2025-10-08 01:36:42,0,NO-Safety Vest,Medium,"(-111.33570861816406,136.55508422851562,416.974853515625,616.2408447265625)",None,0.8941420316696167,NO-Safety Vest (Confidence: 0.89)
2,0,2025-10-08 01:36:48,0,,None,"(0,0,0,0)",{'total_persons': 1},1.0, (Confidence: 1.00)
2,1,2025-10-08 01:36:48,0,NO-Hardhat,High,"(54.527191162109375,33.424163818359375,476.6450500488281,252.53533935546875)",None,0.9010083675384521,NO-Hardhat (Confidence: 0.90)
3,0,2025-10-08 01:36:49,0,,None,"(0,0,0,0)",{'total_persons': 1},1.0, (Confidence: 1.00)
3,1,2025-10-08 01:36:49,0,NO-Hardhat,High,"(55.412139892578125,36.060218811035156,479.7019958496094,250.11032104492188)",None,0.8716055750846863,NO-Hardhat (Confidence: 0.90)
4,0,2025-10-08 01:36:50,0,,None,"(0,0,0,0)",{'total_persons': 1},1.0, (Confidence: 1.00)
4,1,2025-10-08 01:36:51,0,NO-Hardhat,High,"(52.12646484375,35.682342529296875,478.44244384765625,252.77023315429688)",None,0.8936582803726196,NO-Hardhat (Confidence: 0.90)
5,0,2025-10-08 01:36:52,0,,None,"(0,0,0,0)",{'total_persons': 1},1.0, (Confidence: 1.00)
5,1,2025-10-08 01:36:52,0,NO-Hardhat,High,"(44.55645751953125,19.377288818359375,475.49493408203125,239.47201538085938)",None,0.894661545753479,NO-Hardhat (Confidence: 0.90)
6,0,2025-10-08 01:36:53,0,,None,"(0,0,0,0)",{'total_persons': 1},1.0, (Confidence: 1.00)
6,1,2025-10-08 01:36:53,0,NO-Hardhat,High,"(54.609710693359375,34.355926513671875,476.9880676269531,254.90402221679688)",None,0.8994874954223633,NO-Hardhat (Confidence: 0.90)
7,0,2025-10-08 01:36:54,0,,None,"(0,0,0,0)",{'total_persons': 1},1.0, (Confidence: 1.00)
7,1,2025-10-08 01:36:54,0,NO-Mask,Low,"(78.73225402832031,102.94224548339844,480.69110107421875,491.13623046875)",None,0.8250429630279541,NO-Mask (Confidence: 0.83)
8,0,2025-10-08 01:36:55,0,,None,"(0,0,0,0)",{'total_persons': 1},1.0, (Confidence: 1.00)
8,1,2025-10-08 01:36:55,0,NO-Safety Vest,Medium,"(-135.00047302246094,126.19386291503906,391.7008056640625,606.0187377929688)",None,0.6424633264541626,NO-Safety Vest (Confidence: 0.89)
9,0,2025-10-08 01:36:56,0,,None,"(0,0,0,0)",{'total_persons': 1},1.0, (Confidence: 1.00)
9,1,2025-10-08 01:36:56,0,NO-Safety Vest,Medium,"(-127.60665893554688,129.1405029296875,389.4890441894531,609.2312622070312)",None,0.8165609836578369,NO-Safety Vest (Confidence: 0.89)
10,0,2025-10-08 01:36:57,0,,None,"(0,0,0,0)",{'total_persons': 1},1.0, (Confidence: 1.00)
10,1,2025-10-08 01:36:57,0,NO-Safety Vest,Medium,"(-129.71499633789062,127.82695007324219,408.5653991699219,607.8764038085938)",None,0.7835355401039124,NO-Safety Vest (Confidence: 0.89)
11,0,2025-10-08 01:36:58,0,,None,"(0,0,0,0)",{'total_persons': 1},1.0, (Confidence: 1.00)
11,1,2025-10-08 01:36:58,0,NO-Hardhat,High,"(48.7955322265625,28.488853454589844,477.7952880859375,261.1011047363281)",None,0.904600203037262,NO-Hardhat (Confidence: 0.90)
12,0,2025-10-08 01:36:59,0,,None,"(0,0,0,0)",{'total_persons': 1},1.0, (Confidence: 1.00)
12,1,2025-10-08 01:36:59,0,NO-Safety Vest,Medium,"(-134.0225830078125,132.31907653808594,401.97637939453125,612.2337036132812)",None,0.7632344961166382,NO-Safety Vest (Confidence: 0.89)
13,0,2025-10-08 01:37:00,0,,None,"(0,0,0,0)",{'total_persons': 1},1.0, (Confidence: 1.00)
13,1,2025-10-08 01:37:00,0,NO-Mask,Low,"(75.89976501464844,105.31192016601562,483.76165771484375,506.2330627441406)",None,0.9029914140701294,NO-Mask (Confidence: 0.83)
14,0,2025-10-08 01:37:02,0,,None,"(0,0,0,0)",{'total_persons': 1},1.0, (Confidence: 1.00)
14,1,2025-10-08 01:37:02,0,NO-Hardhat,High,"(45.32733154296875,26.896713256835938,478.638671875,259.50927734375)",None,0.8820586800575256,NO-Hardhat (Confidence: 0.90)
15,0,2025-10-08 01:37:02,0,,None,"(0,0,0,0)",{'total_persons': 1},1.0, (Confidence: 1.00)
15,1,2025-10-08 01:37:02,0,NO-Safety Vest,Medium,"(-123.07879638671875,133.74569702148438,405.97607421875,613.472900390625)",None,0.8614264726638794,NO-Safety Vest (Confidence: 0.89)
16,0,2025-10-08 01:37:03,0,,None,"(0,0,0,0)",{'total_persons': 1},1.0, (Confidence: 1.00)
16,1,2025-10-08 01:37:03,0,NO-Safety Vest,Medium,"(-139.16720581054688,130.9955596923828,389.2126770019531,610.6531982421875)",None,0.8529099225997925,NO-Safety Vest (Confidence: 0.89)
17,0,2025-10-08 01:37:05,0,,None,"(0,0,0,0)",{'total_persons': 1},1.0, (Confidence: 1.00)
17,1,2025-10-08 01:37:05,0,NO-Hardhat,High,"(46.50798034667969,33.64784240722656,472.02935791015625,258.5762939453125)",None,0.8973530530929565,NO-Hardhat (Confidence: 0.90)
18,0,2025-10-08 01:37:06,0,,None,"(0,0,0,0)",{'total_persons': 1},1.0, (Confidence: 1.00)
18,1,2025-10-08 01:37:06,0,NO-Safety Vest,Medium,"(-131.4413604736328,130.60427856445312,396.61517333984375,610.683837890625)",None,0.7806658744812012,NO-Safety Vest (Confidence: 0.89)
19,0,2025-10-08 01:37:07,0,,None,"(0,0,0,0)",{'total_persons': 1},1.0, (Confidence: 1.00)
19,1,2025-10-08 01:37:07,0,NO-Safety Vest,Medium,"(-133.22088623046875,126.55824279785156,419.8021240234375,606.66796875)",None,0.7363607883453369,NO-Safety Vest (Confidence: 0.89)
20,0,2025-10-08 01:37:08,0,,None,"(0,0,0,0)",{'total_persons': 1},1.0, (Confidence: 1.00)
20,1,2025-10-08 01:37:08,0,NO-Mask,Low,"(75.47688293457031,108.88360595703125,488.28753662109375,498.777099609375)",None,0.8857250213623047,NO-Mask (Confidence: 0.83)
21,0,2025-10-08 01:37:09,0,,None,"(0,0,0,0)",{'total_persons': 1},1.0, (Confidence: 1.00)
21,1,2025-10-08 01:37:09,0,NO-Mask,Low,"(77.77182006835938,104.2578125,493.9436950683594,498.32122802734375)",None,0.897065281867981,NO-Mask (Confidence: 0.83)
22,0,2025-10-08 01:37:11,0,,None,"(0,0,0,0)",{'total_persons': 1},1.0, (Confidence: 1.00)
22,1,2025-10-08 01:37:11,0,NO-Mask,Low,"(73.37342834472656,108.41293334960938,488.54736328125,500.6169738769531)",None,0.8568373322486877,NO-Mask (Confidence: 0.83)
23,0,2025-10-08 01:37:12,0,,None,"(0,0,0,0)",{'total_persons': 1},1.0, (Confidence: 1.00)
23,1,2025-10-08 01:37:12,0,NO-Safety Vest,Medium,"(-123.26358032226562,134.58689880371094,388.4407653808594,614.6473388671875)",None,0.8069475889205933,NO-Safety Vest (Confidence: 0.89)
24,0,2025-10-08 01:37:14,0,,None,"(0,0,0,0)",{'total_persons': 1},1.0, (Confidence: 1.00)
24,1,2025-10-08 01:37:14,0,NO-Hardhat,High,"(48.45075988769531,30.622482299804688,480.29656982421875,258.92034912109375)",None,0.8216321468353271,NO-Hardhat (Confidence: 0.90)
25,0,2025-10-08 01:37:15,0,,None,"(0,0,0,0)",{'total_persons': 1},1.0, (Confidence: 1.00)
25,1,2025-10-08 01:37:15,0,NO-Safety Vest,Medium,"(-126.3289794921875,137.2418212890625,397.4415283203125,617.2424926757812)",None,0.7680469751358032,NO-Safety Vest (Confidence: 0.89)
26,0,2025-10-08 01:37:16,0,,None,"(0,0,0,0)",{'total_persons': 1},1.0, (Confidence: 1.00)
26,1,2025-10-08 01:37:16,0,NO-Safety Vest,Medium,"(-147.6732940673828,133.54141235351562,390.15960693359375,613.5570068359375)",None,0.6204228401184082,NO-Safety Vest (Confidence: 0.89)
27,0,2025-10-08 01:37:17,0,,None,"(0,0,0,0)",{'total_persons': 1},1.0, (Confidence: 1.00)
27,1,2025-10-08 01:37:17,0,NO-Safety Vest,Medium,"(-136.79812622070312,124.57969665527344,385.4728088378906,604.58642578125)",None,0.8174808621406555,NO-Safety Vest (Confidence: 0.89)
28,0,2025-10-08 01:37:18,0,,None,"(0,0,0,0)",{'total_persons': 1},1.0, (Confidence: 1.00)
28,1,2025-10-08 01:37:18,0,NO-Safety Vest,Medium,"(-139.31341552734375,128.55564880371094,381.66253662109375,608.5374755859375)",None,0.8050448894500732,NO-Safety Vest (Confidence: 0.89)
