worker_id,frames_seen,helmet_frames,vest_frames,helmet_pct,vest_pct,final_decision,snapshot_path
1,164,0,7,0.000,0.043,no_hardhat+no_vest,reports\snapshots\worker_1_20250924_145416.jpg
2,192,6,47,0.031,0.245,no_hardhat+no_vest,reports\snapshots\worker_2_20250924_145416.jpg
3,192,113,118,0.589,0.615,no_hardhat,reports\snapshots\worker_3_20250924_145416.jpg
4,192,33,35,0.172,0.182,no_hardhat+no_vest,reports\snapshots\worker_4_20250924_145416.jpg
5,5,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_5_20250924_145416.jpg
6,2,2,0,1.000,0.000,no_vest,reports\snapshots\worker_6_20250924_145416.jpg
7,25,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_7_20250924_145416.jpg
8,1,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_8_20250924_145416.jpg
9,1,1,0,1.000,0.000,no_vest,reports\snapshots\worker_9_20250924_145416.jpg
10,1,1,0,1.000,0.000,no_vest,reports\snapshots\worker_10_20250924_145416.jpg
11,6,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_11_20250924_145416.jpg
12,3,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_12_20250924_145416.jpg
13,2,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_13_20250924_145416.jpg
14,2,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_14_20250924_145416.jpg
15,2,2,0,1.000,0.000,no_vest,reports\snapshots\worker_15_20250924_145416.jpg
16,1,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_16_20250924_145416.jpg
17,50,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_17_20250924_145416.jpg
18,1,1,0,1.000,0.000,no_vest,reports\snapshots\worker_18_20250924_145416.jpg
19,1,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_19_20250924_145416.jpg
20,8,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_20_20250924_145416.jpg
21,1,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_21_20250924_145416.jpg
22,2,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_22_20250924_145416.jpg
23,1,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_23_20250924_145416.jpg
24,6,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_24_20250924_145416.jpg
25,1,0,1,0.000,1.000,no_hardhat,reports\snapshots\worker_25_20250924_145416.jpg
26,2,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_26_20250924_145416.jpg
27,1,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_27_20250924_145416.jpg
28,1,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_28_20250924_145416.jpg
29,5,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_29_20250924_145416.jpg
30,15,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_30_20250924_145416.jpg
31,4,0,2,0.000,0.500,no_hardhat+no_vest,reports\snapshots\worker_31_20250924_145416.jpg
32,4,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_32_20250924_145416.jpg
33,11,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_33_20250924_145416.jpg
34,2,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_34_20250924_145416.jpg
35,1,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_35_20250924_145416.jpg
36,31,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_36_20250924_145416.jpg
37,11,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_37_20250924_145416.jpg
38,7,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_38_20250924_145416.jpg
39,12,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_39_20250924_145416.jpg
40,2,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_40_20250924_145416.jpg
41,8,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_41_20250924_145416.jpg
42,5,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_42_20250924_145416.jpg
43,1,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_43_20250924_145416.jpg
44,4,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_44_20250924_145416.jpg
45,1,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_45_20250924_145416.jpg
46,2,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_46_20250924_145416.jpg
47,12,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_47_20250924_145416.jpg
48,4,0,0,0.000,0.000,no_hardhat+no_vest,reports\snapshots\worker_48_20250924_145416.jpg
